Student,Exam_1,Exam_2,Exam_3,Exam_4,Exam_5,Exam_6,Exam_7
STUDENT_1,3,6,30,89,90,26,26
STUDENT_2,100,31,81,90,73,38,34
STUDENT_3,41,10,84,78,63,49,15
STUDENT_4,85,54,35,2,29,9,39
STUDENT_5,62,84,89,92,9,97,16
STUDENT_6,17,5,88,81,29,6,7
STUDENT_7,38,20,43,14,28,53,87
STUDENT_8,93,52,60,31,23,43,98
STUDENT_9,96,41,84,55,80,78,66
STUDENT_10,13,44,45,94,68,5,95
STUDENT_11,74,38,96,93,24,80,57
STUDENT_12,20,35,48,43,48,87,68
STUDENT_13,65,96,39,82,42,62,99
STUDENT_14,3,23,51,59,74,40,17
STUDENT_15,18,75,46,76,93,2,44
STUDENT_16,57,35,11,68,86,25,14
STUDENT_17,70,20,76,54,56,28,75
STUDENT_18,9,5,3,1,100,15,26
STUDENT_19,71,22,41,6,64,8,30
STUDENT_20,60,28,1,71,68,70,45
STUDENT_21,3,66,74,18,89,20,15
